ASV_ID	Bomok1	Bomok2	Bomok3	Bomok4	Gangjeong1	Gangjeong2	Gangjeong3	Gangjeong4
ASV149	0	15	0	37	45	0	0	0
ASV150	0	0	6	69	0	0	11	11
ASV151	35	6	15	0	30	0	5	5
ASV152	0	28	40	0	0	0	14	14
ASV153	0	0	96	0	0	0	0	0
ASV154	0	0	0	0	0	96	0	0
ASV155	0	0	0	95	0	0	0	0
ASV156	0	94	0	0	0	0	0	0
ASV157	0	0	94	0	0	0	0	0
ASV158	40	5	28	0	20	0	0	0
ASV159	0	30	0	0	0	45	9	9
ASV160	92	0	0	0	0	0	0	0
ASV161	28	0	0	64	0	0	0	0
ASV162	0	0	92	0	0	0	0	0
ASV163	0	0	92	0	0	0	0	0
ASV164	0	0	0	0	0	0	46	46
ASV165	0	0	0	81	4	6	0	0
ASV166	0	0	0	0	20	8	31	31
ASV167	0	24	0	0	0	65	0	0
ASV168	0	7	0	0	0	0	41	41
ASV169	0	11	0	0	37	39	0	0
ASV170	0	0	87	0	0	0	0	0
ASV171	86	0	0	0	0	0	0	0
ASV172	0	0	0	0	0	85	0	0
ASV173	84	0	0	0	0	0	0	0
ASV174	4	0	0	72	0	0	4	4
ASV175	0	17	0	56	0	11	0	0
ASV176	0	0	0	0	0	84	0	0
ASV177	0	0	0	29	54	0	0	0
ASV178	40	4	13	6	13	6	0	0
ASV179	23	31	0	0	12	0	8	8
ASV180	0	0	82	0	0	0	0	0
ASV181	5	0	0	51	25	0	0	0
ASV182	0	14	0	11	31	25	0	0
ASV183	0	0	0	23	27	12	9	9
ASV184	78	0	0	0	0	0	0	0
ASV185	68	0	0	0	10	0	0	0
ASV186	11	0	63	0	4	0	0	0
ASV187	7	0	0	19	22	0	15	15
ASV188	0	0	0	0	0	0	39	39
ASV189	0	39	0	0	3	5	15	15
ASV190	0	0	0	76	0	0	0	0
ASV191	0	0	0	0	0	0	38	38
ASV192	0	4	0	29	37	5	0	0
ASV193	70	0	0	0	4	0	0	0
ASV194	0	0	0	0	0	0	37	37
ASV195	13	0	0	0	60	0	0	0
ASV196	0	73	0	0	0	0	0	0
ASV197	11	0	0	39	18	0	2	2
ASV198	4	5	0	4	47	12	0	0
ASV199	0	0	0	0	0	72	0	0
ASV200	0	0	0	0	0	0	36	36
ASV201	7	0	0	0	60	0	2	2
ASV202	0	71	0	0	0	0	0	0
ASV203	0	71	0	0	0	0	0	0
ASV204	0	51	0	0	20	0	0	0
ASV205	0	0	71	0	0	0	0	0
ASV206	70	0	0	0	0	0	0	0
ASV207	0	3	0	0	0	3	32	32
ASV208	0	0	0	70	0	0	0	0
ASV209	33	9	4	4	19	0	0	0
ASV210	0	67	0	0	0	0	0	0
ASV211	0	0	67	0	0	0	0	0
ASV212	0	0	0	67	0	0	0	0
ASV213	0	34	0	0	5	3	12	12
ASV214	0	28	0	0	0	12	13	13
ASV215	0	0	0	66	0	0	0	0
ASV216	65	0	0	0	0	0	0	0
ASV217	0	0	3	58	0	0	2	2
ASV218	24	4	0	0	36	0	0	0
ASV219	0	0	64	0	0	0	0	0
ASV220	0	0	21	0	0	43	0	0
ASV221	0	0	0	64	0	0	0	0
ASV222	0	0	63	0	0	0	0	0
ASV223	11	11	0	10	30	0	0	0
ASV224	0	0	0	62	0	0	0	0
ASV225	0	0	0	0	62	0	0	0
ASV226	0	0	0	0	62	0	0	0
ASV227	61	0	0	0	0	0	0	0
ASV228	0	7	0	54	0	0	0	0
ASV229	0	0	0	0	61	0	0	0
ASV230	11	0	0	0	7	0	21	21
ASV231	0	4	0	0	0	0	28	28
ASV232	0	0	12	39	0	0	4	4
ASV233	0	0	0	0	59	0	0	0
ASV234	0	0	0	0	0	59	0	0
ASV235	58	0	0	0	0	0	0	0
ASV236	19	16	0	0	23	0	0	0
ASV237	11	0	7	8	29	3	0	0
ASV238	0	58	0	0	0	0	0	0
ASV239	0	0	44	0	0	0	7	7
ASV240	0	0	0	58	0	0	0	0
ASV241	13	0	0	8	31	5	0	0
ASV242	0	25	0	0	0	12	10	10
ASV243	0	0	57	0	0	0	0	0
